pfc_condition,sI_pfc,GSH_pfc
2,0.00872536348386883,0.11840699664505
2,0.0323087482730557,0.00015879805441944
2,0.000188912850338945,0.0168999308717751
2,0.000163322959095222,7.89E+09
2,0.00012543890746309,8.77E+09
2,5.23E+09,0.0627550367012264
2,0.00710069899229354,0.000804251293935383
2,0.000377644305273981,0.0628113937013619
2,0.0210131977070066,0.0288132857551867
2,0.00580411901307818,0.000185931279295029
2,0.000152026074659063,0.352598890983222
2,6.01E+09,0.106991455593723
2,0.000158156420290453,0.0743811563813339
2,0.0162077526650253,0.110072327996175
2,5.65E+09,3.79E+09
2,0.000165768708754313,105.982.084.624.663
2,0.0117542692467064,0.0124903870306523
2,3.13E+08,0.0499476908268481
2,0.000126730768848197,0.0705841683774008
2,0.00011459010262041,0.036052507738418
2,0.0533098727341064,0.138872696168331
2,0.000138716375362113,0.201841455950417
1,0.00814043732471263,0.380334107798252
1,0.0139160152472724,0.160122742143303
1,0.00760923171985325,0.0191171084132304
1,0.0352184334389499,0.000130785918964389
1,0.503199638578164,0.029211625588344
1,0.0186103651481438,0.090589561120246
1,0.018220091589738,0.273721033493139
1,0.0128001136158872,0.0996149893763685
1,0.0156853666898375,0.320164985868061
1,0.0106847122037978,0.00116466430694212
1,5.82E+09,0.643216423215746
1,0.000116311450023191,7.02E+09
1,0.0175902217652221,0.0602847416000965
1,0.024542870388413,0.440222490889505
