metabolites,values
Gln,-0.292386741221358
Glu,-0.271832742778558
mI,0.113087591695697
NAA,-0.323642408274872
sI,-0.364701871515979
tCho,-0.39702527874834
GSH,-0.200876554529742
NAAG,3.14233741287205
Asc,-0.269964197465576
Asp,-0.316653563467875
Lac,-0.47924127251954
GABA,-0.339100374045904
